time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-12-24,127.75,129.69,126.61,127.8,200637.1,25667665.14,force_direct,
2019-12-25,125.09,127.84,123.07,127.75,225004.49,28144469.16,force_direct,
2019-12-26,125.58,132.26,124.32,125.09,274986.52,34943780.91,force_direct,
2019-12-27,126.29,127.1,121.91,125.58,240012.37,30020098.89,force_direct,
2019-12-28,128.11,129.68,125.84,126.29,196893.52,25177121.15,force_direct,
2019-12-29,134.36,138.07,127.52,128.11,316347.27,41893078.36,force_direct,
2019-12-30,131.59,136.24,130.3,134.36,320347.22,42636559.38,force_direct,
2019-12-31,129.16,133.68,128.17,131.59,264933.98,34678632.18,force_direct,
2020-01-01,130.77,133.05,128.68,129.16,144770.52,18952318.53,force_direct,
2020-01-02,127.19,130.78,126.38,130.77,213757.06,27486853.39,force_direct,
2020-01-03,134.35,135.14,125.88,127.19,413055.19,54139288.22,force_direct,
2020-01-04,134.2,135.85,132.5,134.35,184276.17,24641135.57,force_direct,
2020-01-05,135.37,138.19,134.19,134.2,254120.45,34593687.6,force_direct,
2020-01-06,144.15,144.41,134.86,135.37,408020.27,57400544.49,force_direct,
2020-01-07,142.8,145.31,138.76,144.15,447762.17,63861666.4,force_direct,
2020-01-08,140.72,147.77,137.03,142.8,570465.58,81184999.73,force_direct,
2020-01-09,137.74,141.5,135.3,140.72,366076.07,50611452.58,force_direct,
2020-01-10,144.84,145.17,135.32,137.74,409403.6,57377525.56,force_direct,
2020-01-11,142.38,148.05,142.09,144.84,368350.58,53149360.56,force_direct,
2020-01-12,146.54,146.6,141.76,142.38,229541.86,33112850.82,force_direct,
2020-01-13,143.58,147.0,142.27,146.54,207996.62,29888095.37,force_direct,
2020-01-14,165.64,171.7,143.51,143.58,1108476.31,173492006.25,force_direct,
2020-01-15,166.4,171.98,159.2,165.64,721687.8,119239937.93,force_direct,
2020-01-16,164.21,167.4,157.8,166.4,456170.87,74038650.83,force_direct,
2020-01-17,169.85,174.81,162.14,164.21,767180.68,129909265.26,force_direct,
2020-01-18,174.14,179.5,164.92,169.85,688783.18,119388338.75,force_direct,
2020-01-19,166.79,178.05,161.66,174.14,624681.29,105691368.82,force_direct,
2020-01-20,166.87,169.33,161.24,166.79,358092.88,59292534.72,force_direct,
2020-01-21,169.49,170.32,164.8,166.87,308007.64,51615232.57,force_direct,
2020-01-22,168.07,171.47,166.03,169.49,272240.9,45903134.16,force_direct,
2020-01-23,162.81,168.2,159.21,168.07,373414.35,60971659.77,force_direct,
2020-01-24,162.54,164.45,155.55,162.81,430013.2,68980724.06,force_direct,
2020-01-25,160.35,162.79,157.61,162.54,219921.65,35196608.31,force_direct,
2020-01-26,167.86,168.08,159.41,160.35,251582.56,41239031.34,force_direct,
2020-01-27,170.08,172.56,165.22,167.86,365894.82,61846624.61,force_direct,
2020-01-28,175.64,176.2,170.03,170.08,473433.9,81649497.49,force_direct,
2020-01-29,173.72,178.45,173.33,175.64,317382.9,55988230.27,force_direct,
2020-01-30,184.69,187.0,170.93,173.72,477721.66,85164074.08,force_direct,
2020-01-31,179.99,185.82,175.22,184.69,385596.53,69633052.28,force_direct,
2020-02-01,183.6,184.28,179.23,179.99,259370.13,47263178.07,force_direct,
2020-02-02,188.44,193.43,179.1,183.6,552621.14,104105613.56,force_direct,
2020-02-03,189.69,195.19,186.62,188.44,417175.96,79336312.52,force_direct,
2020-02-04,188.91,191.6,184.69,189.69,366389.7,68720832.62,force_direct,
2020-02-05,203.78,207.61,188.19,188.91,550942.11,108659358.54,force_direct,
